absolouta	absoluta
aldéia	aldeia
Algeria	Argélia
apropiada	apropriada
aquelle	aquele
asssistia	assistia
Bolshói	Bolshoi
borbolata	borboleta
bravemente	bravamente
CO2	CO₂
começei	comecei
comprendemos	compreendemos
conseqüência	consequência
contrar-atacar	contra-atacar
descamsar	descansar
destrurei	destruirei
Disneilãndia	Disneilândia
essle	esse
estómago	estômago
excessão	exceção
façada	fachada
horrivel	horrível
mihões	milhões
porăo	porão
sapatea	sapateia
trampolin	trampolim
tranferido	transferido
viamos	víamos
videos	vídeos
viodeocâmera	videocâmera
Vocé	Você
Ví	Vi
álef	álefe
